id,depot_lat,depot_long,drive_limit,duty_limit,start_date,end_date,weekday,start_time,end_time,off_duty
17,44.8849345,-93.2131232,10,15,1/1/2022,,5,23:00,11:00,TRUE
17,44.8849345,-93.2131232,10,15,1/1/2022,,6,23:00,11:00,FALSE
17,44.8849345,-93.2131232,10,15,1/1/2022,,7,23:00,11:00,FALSE
18,44.8849345,-93.2131232,10,15,1/1/2022,,1,20:30,7:30,TRUE
18,44.8849345,-93.2131232,10,15,1/1/2022,,2,20:30,7:30,TRUE
18,44.8849345,-93.2131232,10,15,1/1/2022,,3,20:30,7:30,TRUE
18,44.8849345,-93.2131232,10,15,1/1/2022,,4,20:30,7:30,TRUE
18,44.8849345,-93.2131232,10,15,1/1/2022,,5,20:30,7:30,TRUE
18,44.8849345,-93.2131232,10,15,1/1/2022,,6,20:30,7:30,FALSE
18,44.8849345,-93.2131232,10,15,1/1/2022,,7,20:30,7:30,FALSE
19,44.8849345,-93.2131232,10,15,1/1/2022,,1,20:30,7:30,TRUE
19,44.8849345,-93.2131232,10,15,1/1/2022,,2,20:30,7:30,TRUE
19,44.8849345,-93.2131232,10,15,1/1/2022,,3,20:30,7:30,TRUE
19,44.8849345,-93.2131232,10,15,1/1/2022,,4,20:30,7:30,TRUE
19,44.8849345,-93.2131232,10,15,1/1/2022,,5,20:30,7:30,TRUE
19,44.8849345,-93.2131232,10,15,1/1/2022,,6,20:30,7:30,FALSE
19,44.8849345,-93.2131232,10,15,1/1/2022,,7,20:30,7:30,FALSE
20,44.8849345,-93.2131232,10,15,1/1/2022,,1,6:00,19:00,TRUE
20,44.8849345,-93.2131232,10,15,1/1/2022,,2,6:00,19:00,TRUE
20,44.8849345,-93.2131232,10,15,1/1/2022,,3,6:00,19:00,TRUE
20,44.8849345,-93.2131232,10,15,1/1/2022,,4,6:00,19:00,TRUE
20,44.8849345,-93.2131232,10,15,1/1/2022,,5,6:00,19:00,TRUE
20,44.8849345,-93.2131232,10,15,1/1/2022,,6,6:00,19:00,FALSE
20,44.8849345,-93.2131232,10,15,1/1/2022,,7,6:00,19:00,FALSE
21,44.8849345,-93.2131232,10,15,1/1/2022,,1,6:00,19:00,TRUE
21,44.8849345,-93.2131232,10,15,1/1/2022,,2,6:00,19:00,TRUE
21,44.8849345,-93.2131232,10,15,1/1/2022,,3,6:00,19:00,TRUE
21,44.8849345,-93.2131232,10,15,1/1/2022,,4,6:00,19:00,TRUE
21,44.8849345,-93.2131232,10,15,1/1/2022,,5,6:00,19:00,TRUE
21,44.8849345,-93.2131232,10,15,1/1/2022,,6,6:00,19:00,FALSE
21,44.8849345,-93.2131232,10,15,1/1/2022,,7,6:00,19:00,FALSE
22,44.8849345,-93.2131232,10,15,1/1/2022,,1,15:00,2:30,TRUE
22,44.8849345,-93.2131232,10,15,1/1/2022,,2,15:00,2:30,TRUE
22,44.8849345,-93.2131232,10,15,1/1/2022,,3,15:00,2:30,TRUE
22,44.8849345,-93.2131232,10,15,1/1/2022,,4,15:00,2:30,TRUE
22,44.8849345,-93.2131232,10,15,1/1/2022,,5,15:00,2:30,TRUE
22,44.8849345,-93.2131232,10,15,1/1/2022,,6,15:00,2:30,FALSE
22,44.8849345,-93.2131232,10,15,1/1/2022,,7,15:00,2:30,FALSE
23,44.8849345,-93.2131232,10,15,1/1/2022,,1,15:00,2:30,TRUE
23,44.8849345,-93.2131232,10,15,1/1/2022,,2,15:00,2:30,TRUE
23,44.8849345,-93.2131232,10,15,1/1/2022,,3,15:00,2:30,TRUE
23,44.8849345,-93.2131232,10,15,1/1/2022,,4,15:00,2:30,TRUE
23,44.8849345,-93.2131232,10,15,1/1/2022,,5,15:00,2:30,TRUE
23,44.8849345,-93.2131232,10,15,1/1/2022,,6,15:00,2:30,FALSE
23,44.8849345,-93.2131232,10,15,1/1/2022,,7,15:00,2:30,FALSE
24,46.8385846,-92.1815681,10,15,1/1/2022,,1,15:00,2:30,TRUE
24,46.8385846,-92.1815681,10,15,1/1/2022,,2,15:00,2:30,TRUE
24,46.8385846,-92.1815681,10,15,1/1/2022,,3,15:00,2:30,TRUE
24,46.8385846,-92.1815681,10,15,1/1/2022,,4,15:00,2:30,TRUE
24,46.8385846,-92.1815681,10,15,1/1/2022,,5,15:00,2:30,TRUE
24,46.8385846,-92.1815681,10,15,1/1/2022,,6,15:00,2:30,FALSE
